benchmark,env_name,offline_steps,batch_size,discount,flow_steps,q_agg,target_agg,guidance_agg,alpha,eta_temperature
OGBench,antmaze_giant_navigate,1000000,1024,0.995,10,min,actor,actor,0.1,0.3
OGBench,antmaze_large_stitch,1000000,256,0.995,10,min,actor,min,0.1,0.3
OGBench,antsoccer_arena_stitch,1000000,256,0.995,10,mean,actor,actor,0.1,0.1
OGBench,cube_double_noisy,1000000,256,0.99,10,mean,mean,actor,0.1,0.1
OGBench,cube_double_play,1000000,256,0.99,10,mean,mean,actor,1,0.1
OGBench,cube_triple_noisy,1000000,1024,0.99,10,mean,mean,actor,0.03,1
OGBench,cube_triple_play,1000000,1024,0.99,10,mean,mean,actor,1,3
OGBench,humanoidmaze_large_navigate,1000000,1024,0.999,30,mean,mean,actor,0.3,0.1
OGBench,humanoidmaze_medium_navigate,1000000,256,0.995,10,mean,mean,actor,0.3,0.3
OGBench,humanoidmaze_medium_stitch,1000000,256,0.999,10,mean,mean,actor,0.3,0.1
OGBench,puzzle_3x3_play,1000000,256,0.99,10,mean,mean,actor,3,1
OGBench,puzzle_4x4_noisy,1000000,256,0.99,10,mean,mean,actor,0.3,0.1
OGBench,puzzle_4x4_play,1000000,256,0.99,10,mean,mean,actor,1,0.3
